# 1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux 13:predicted_uy
0.0488281 -2.97852 0.000249532 -0.000150392 -3.11896e-05 -0.0101907 -0.00196502 0.000907446 -0.000150523 -3.11396e-05 0 -0.111604 -0.0572304
0.0488281 -2.92969 0.000346351 -0.000210083 -3.10867e-05 -0.014191 -0.00198702 0.000990662 -0.000210064 -3.1168e-05 0 -0.111223 -0.0575105
0.0488281 -2.88086 0.000443576 -0.000269559 -3.09727e-05 -0.018186 -0.00198689 0.00106014 -0.000269484 -3.10481e-05 0 -0.110816 -0.057768
0.0488281 -2.83203 0.000540383 -0.000328737 -3.08146e-05 -0.0221605 -0.00197664 0.00112075 -0.000328623 -3.08973e-05 0 -0.110382 -0.0579908
0.0488281 -2.7832 0.000636608 -0.000387564 -3.06285e-05 -0.0261105 -0.00196388 0.00117695 -0.000387411 -3.07234e-05 0 -0.109894 -0.0581781
0.0488281 -2.73438 0.000732168 -0.00044599 -3.04178e-05 -0.0300329 -0.00194931 0.00123155 -0.000445802 -3.05252e-05 0 -0.109363 -0.0583219
0.0488281 -2.68555 0.000826971 -0.000503971 -3.01835e-05 -0.033924 -0.0019328 0.00128632 -0.000503747 -3.03028e-05 0 -0.108794 -0.0584177
0.0488281 -2.63672 0.000920918 -0.00056146 -2.99263e-05 -0.03778 -0.00191427 0.00134236 -0.000561202 -3.00571e-05 0 -0.108216 -0.0584543
0.0488281 -2.58789 0.00101391 -0.000618413 -2.96472e-05 -0.0415967 -0.00189371 0.00140039 -0.000618121 -2.97889e-05 0 -0.107584 -0.058422
0.0488281 -2.53906 0.00110585 -0.000674787 -2.93472e-05 -0.0453702 -0.00187115 0.00146083 -0.000674463 -2.94994e-05 0 -0.10691 -0.0583109
0.0488281 -2.49024 0.00119664 -0.000730543 -2.90273e-05 -0.0490964 -0.00184665 0.00152389 -0.000730186 -2.91893e-05 0 -0.106213 -0.0581118
0.0488281 -2.44141 0.00128619 -0.000785642 -2.86884e-05 -0.0527716 -0.00182027 0.00158962 -0.000785252 -2.88599e-05 0 -0.10549 -0.0578081
0.0488281 -2.39258 0.0013744 -0.000840047 -2.83315e-05 -0.0563921 -0.00179211 0.00165796 -0.000839626 -2.85118e-05 0 -0.104737 -0.0573842
0.0488281 -2.34375 0.0014612 -0.000893723 -2.79576e-05 -0.0599544 -0.00176227 0.00172874 -0.000893272 -2.81463e-05 0 -0.104006 -0.0568311
0.0488281 -2.29492 0.0015465 -0.000946639 -2.75677e-05 -0.0634552 -0.00173088 0.00180175 -0.000946157 -2.77643e-05 0 -0.103289 -0.0561291
0.0488281 -2.24609 0.00163023 -0.000998764 -2.71627e-05 -0.0668915 -0.00169805 0.00187677 -0.000998253 -2.73667e-05 0 -0.102589 -0.0552764
0.0488281 -2.19727 0.00171232 -0.00105007 -2.67438e-05 -0.0702606 -0.00166394 0.00195355 -0.00104953 -2.69546e-05 0 -0.101929 -0.054247
0.0488281 -2.14844 0.00179272 -0.00110053 -2.63118e-05 -0.0735601 -0.00162868 0.00203181 -0.00109996 -2.65289e-05 0 -0.10134 -0.0530343
0.0488281 -2.09961 0.00187137 -0.00115012 -2.58677e-05 -0.0767879 -0.00159242 0.00211131 -0.00114953 -2.60908e-05 0 -0.100831 -0.0515922
0.0488281 -2.05078 0.00194823 -0.00119882 -2.54125e-05 -0.079942 -0.00155531 0.0021918 -0.0011982 -2.5641e-05 0 -0.100414 -0.0498954
0.0488281 -2.00195 0.00202326 -0.00124661 -2.49471e-05 -0.0830209 -0.00151749 0.00227304 -0.00124596 -2.51805e-05 0 -0.100114 -0.0479229
0.0488281 -1.95313 0.00209643 -0.00129346 -2.44723e-05 -0.0860234 -0.0014791 0.0023548 -0.00129279 -2.47103e-05 0 -0.0999268 -0.0455418
0.0488281 -1.9043 0.0021677 -0.00133937 -2.39889e-05 -0.0889483 -0.00144028 0.00243687 -0.00133868 -2.4231e-05 0 -0.0998639 -0.0426931
0.0488281 -1.85547 0.00223708 -0.00138432 -2.34976e-05 -0.0917951 -0.00140113 0.00251903 -0.00138361 -2.37435e-05 0 -0.0999299 -0.0392457
0.0488281 -1.80664 0.00230453 -0.00142829 -2.29991e-05 -0.0945631 -0.00136179 0.00260109 -0.00142756 -2.32485e-05 0 -0.100119 -0.0352428
0.0488281 -1.75781 0.00237006 -0.00147128 -2.24941e-05 -0.0972521 -0.00132236 0.00268288 -0.00147052 -2.27466e-05 0 -0.100423 -0.0306947
0.0488281 -1.70899 0.00243367 -0.00151326 -2.1983e-05 -0.0998621 -0.00128293 0.00276423 -0.00151248 -2.22385e-05 0 -0.100841 -0.0252198
0.0488281 -1.66016 0.00249535 -0.00155424 -2.14664e-05 -0.102393 -0.00124359 0.00284497 -0.00155344 -2.17245e-05 0 -0.101349 -0.0186333
0.0488281 -1.61133 0.00255511 -0.0015942 -2.09446e-05 -0.104845 -0.00120443 0.00292498 -0.00159338 -2.12053e-05 0 -0.101932 -0.00977299
0.0488281 -1.5625 0.00261297 -0.00163313 -2.04181e-05 -0.107219 -0.0011655 0.0030041 -0.00163229 -2.06811e-05 0 -0.102598 0.00412087
0.0488281 -1.51367 0.00266893 -0.00167103 -1.98872e-05 -0.109515 -0.00112686 0.00308223 -0.00167017 -2.01523e-05 0 -0.103285 0.0244953
0.0488281 -1.46485 0.00272302 -0.00170788 -1.93521e-05 -0.111734 -0.00108857 0.00315926 -0.00170701 -1.96192e-05 0 -0.103993 0.0309877
0.0488281 -1.41602 0.00277524 -0.00174369 -1.8813e-05 -0.113877 -0.00105066 0.00323507 -0.00174281 -1.90821e-05 0 -0.104722 0.0339339
0.0488281 -1.36719 0.00282562 -0.00177845 -1.82701e-05 -0.115944 -0.00101316 0.00330959 -0.00177755 -1.85411e-05 0 -0.105461 0.0355848
0.0488281 -1.31836 0.00287418 -0.00181215 -1.77235e-05 -0.117936 -0.000976108 0.00338272 -0.00181123 -1.79963e-05 0 -0.106167 0.0365853
0.0488281 -1.26953 0.00292094 -0.00184478 -1.71734e-05 -0.119855 -0.000939508 0.0034544 -0.00184385 -1.7448e-05 0 -0.106855 0.0371439
0.0488281 -1.22071 0.00296593 -0.00187635 -1.66197e-05 -0.121701 -0.000903376 0.00352455 -0.00187541 -1.6896e-05 0 -0.10751 0.0373858
0.0488281 -1.17188 0.00300916 -0.00190684 -1.60626e-05 -0.123474 -0.000867717 0.00359311 -0.00190588 -1.63406e-05 0 -0.108124 0.0373763
0.0488281 -1.12305 0.00305067 -0.00193625 -1.5502e-05 -0.125177 -0.000832531 0.00366003 -0.00193528 -1.57818e-05 0 -0.108693 0.0371504
